City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,elverum,60.8819,11.5623,4.94,55,45,0.43,NO,1685140766
320,yuzhno-kurilsk,44.0306,145.8556,11.73,89,99,6.79,RU,1685140766
321,shimoda,34.6667,138.95,21.72,67,99,1.04,JP,1685140766
322,rifle,39.5347,-107.7831,27.33,10,20,6.17,US,1685140766
323,tangalle,6.024,80.7911,26.15,88,0,5.17,LK,1685140766
324,el obeid,13.1842,30.2167,31.82,23,83,2.13,SD,1685140767
325,jacutinga,-22.2856,-46.6122,15.14,80,21,2.71,BR,1685140767
326,mayya,61.7333,130.2811,5.62,44,39,2.83,RU,1685140767
327,labytnangi,66.6572,66.4183,16.24,75,97,3.48,RU,1685140767
328,alibag,18.6411,72.8792,30.04,73,2,2.08,IN,1685140767
329,sumberpucung,-8.1586,112.4829,20.53,96,69,0.81,ID,1685140767
330,imbituba,-28.24,-48.6703,20.41,93,78,5.38,BR,1685140768
331,vilyuchinsk,52.9306,158.4028,13.15,63,100,2.14,RU,1685140666
332,chinchilla,-26.75,150.6333,11.26,55,0,4.14,AU,1685140768
333,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1685140768
334,piacabucu,-10.4056,-36.4344,24.28,89,27,3.26,BR,1685140768
335,patterson,37.4716,-121.1297,27.21,33,2,3.04,US,1685140768
336,gamba,-2.65,10.0,25.13,88,100,3.38,GA,1685140769
337,peace river,56.2501,-117.286,24.17,31,20,2.06,CA,1685140659
338,tazovsky,67.4667,78.7,6.86,73,85,6.35,RU,1685140769
339,sarangani,5.4033,125.4636,28.57,76,99,8.28,PH,1685140769
340,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,4.12,EC,1685140769
341,jinghong,21.991,100.7341,21.92,68,0,0.95,CN,1685140770
342,koungou,-12.7336,45.2042,23.84,83,0,1.03,YT,1685140770
343,ust'-ilimsk,58.0006,102.6619,6.32,75,15,1.76,RU,1685140770
344,antonio enes,-16.2325,39.9086,21.27,70,0,1.48,MZ,1685140770
345,bowen,-20.0167,148.2333,20.41,64,2,3.9,AU,1685140770
346,novyy urengoy,66.0833,76.6333,9.0,61,61,6.47,RU,1685140770
347,tevriz,57.509,72.4042,9.46,62,94,1.5,RU,1685140771
348,beloyarskiy,63.7119,66.6722,13.8,89,98,3.06,RU,1685140771
349,lihue,21.9789,-159.3672,26.77,65,20,6.17,US,1685140771
350,gadzhiyevo,69.2551,33.3362,4.44,72,100,7.72,RU,1685140771
351,mpika,-11.8343,31.4529,12.67,76,5,1.75,ZM,1685140771
352,ust-nera,64.5667,143.2,5.8,59,20,2.34,RU,1685140771
353,kloulklubed,7.0419,134.2556,25.28,80,100,11.76,PW,1685140771
354,punta arenas,-53.15,-70.9167,3.06,75,75,6.69,CL,1685140772
355,bayanhongor,46.7167,100.1167,3.62,73,21,1.32,MN,1685140772
356,crane,31.3974,-102.3501,27.76,52,91,9.77,US,1685140772
357,namsos,64.4662,11.4957,6.03,87,100,1.03,NO,1685140772
358,jefferson city,38.5767,-92.1735,25.95,22,0,4.12,US,1685140772
359,manggar,-2.8833,108.2667,27.94,76,97,4.63,ID,1685140772
360,puerto deseado,-47.7503,-65.8938,4.76,54,23,13.12,AR,1685140772
361,aman garh,34.0058,71.93,22.34,47,0,1.37,PK,1685140773
362,sharjah,25.3573,55.4033,31.99,40,0,3.09,AE,1685140487
363,cidade velha,14.9167,-23.6167,23.26,83,20,10.29,CV,1685140773
364,belyy yar,53.6039,91.3903,2.94,81,0,2.0,RU,1685140773
